*n ɲ
*N Ɲ
..a ä
..af ɑ̈
..ai ɛ̈
..b b̈
..c c̈
..d d̈
..e ë
..eu ə̈
..f f̈
..g g̈
..h ḧ
..i ï
..j j̈
..k k̈
..l l̈
..m m̈
..n n̈
..o ö
..o* ɔ̈
..p p̈
..q q̈
..r r̈
..s s̈
..t ẗ
..u ü
..uu ʉ̈
..v v̈
..w ẅ
..x ẍ
..y ÿ
..z z̈
.? ʔ
.a ȧ
.af ɑ̇
.ai ε̇
.b ḃ
.c ċ
.d ḋ
.e ė
.eu ə̇
.f ḟ
.g ġ
.h ḣ
.i i̇
.j j̇
.k k̇
.l l̇
.m ṁ
.n ṅ
.o ȯ
.o* ɔ̇
.p ṗ
.q q̇
.r ṙ
.s ṡ
.t ṫ
.u u̇
.uu ʉ̇
.v v̇
.w ẇ
.x ẋ
.y ẏ
.z ż
?. ʔ
12a ǎ
12af ɑ̌
12ai ɛ̌
12c č
12e ě
12eu ə̌
12i ǐ
12i- ɨ̌
12m m̌
12n ň
12o ǒ
12o* ɔ̌
12oo ǒǒ
12s š
12u ǔ
12uu ʉ̌
1a_ à̠
1aa àà
1af_ ɑ̠̀
1aff ɑ̀ɑ̀
1ai_ ὲ̠
1c c̀
1e_ è̠
1ee èè
1eu_ ə̠̀
1h h̀
1i- ɨ̀
1i_ ì̠
1ia ìà
1iaf ìɑ̀
1ie ìè
1ii ìì
1m m̀
1n ǹ
1o*_ ɔ̠̀
1o_ ò̠
1oo òò
1s s̀
1u_ ù̠
1ua ùà
1uaf ùɑ̀
1uu_ ʉ̠̀
1uuaf ʉ̀ɑ̀
21a â
21af ɑ̂
21ai ɛ̂
21c ĉ
21e ê
21eu ə̂
21i î
21i- ɨ̂
21m m̂
21n n̂
21o ô
21o* ɔ̂
21oo ôô
21s ŝ
21u û
21uu ʉ̂
2a_ á̠
2aa áá
2af_ ɑ̠́
2aff ɑ́ɑ́
2ai_ έ̠
2ee éé
2ia íá
2iaf íɑ́
2ie íé
2ii íí
2oo óó
2ua úá
2uaf úɑ́
2uuaf ʉ́ɑ́
3aa āā
3e_ ē̠
3ee ēē
3ia īā
3iaf īɑ̄
3ie īē
3ii īī
3oo ōō
3ua ūā
3uaf ūɑ̄
3uuaf ʉ̄ɑ̄
5a â
5af ɑ̂
5ai ɛ̂
5e ê
5eu ə̂
5i î
5o ô
5oo ôô
5u û
5uu ʉ̂
7a ǎ
7af ɑ̌
7ai ɛ̌
7e ě
7eu ə̌
7i ǐ
7o ǒ
7oo ǒǒ
7u ǔ
7uu ʉ̌
a1 à
A1 À
a11 àà
a12 ǎ
A12 Ǎ
a13 a᷅
a2 á
A2 Á
a21 â
A21 Â
a22 áá
a23 a᷇
a3 ā
A3 Ā
a32 a᷄
a33 āā
a5 â
A5 Â
a7 ǎ
A7 Ǎ
aa1 àà
aa2 áá
aa3 āā
af ɑ
af1 ɑ̀
